k,alpha,stable
0.2222222222222222,0.06989473207273486,True
0.2222222222222222,0.0774263682681127,True
0.2222222222222222,0.08576958985908942,True
0.2222222222222222,0.0950118507318144,True
0.2222222222222222,0.10525002852777332,True
0.2222222222222222,0.11659144011798317,True
0.2222222222222222,0.1291549665014884,True
0.2222222222222222,0.14307229891937578,True
0.2222222222222222,0.15848931924611134,True
0.2222222222222222,0.17556762912750015,True
0.2222222222222222,0.19448624389373625,True
0.2222222222222222,0.21544346900318845,True
0.2222222222222222,0.2386589786858581,True
0.2222222222222222,0.26437611857491,True
0.2222222222222222,0.29286445646252374,True
0.2222222222222222,0.324422607917163,True
0.2222222222222222,0.35938136638046275,True
0.2222222222222222,0.3981071705534973,True
0.2222222222222222,0.44100594541767385,True
0.2222222222222222,0.4885273571519389,True
0.2222222222222222,0.5411695265464638,True
0.2222222222222222,0.5994842503189411,True
0.2222222222222222,0.6640827850634842,True
0.2222222222222222,0.7356422544596414,True
0.2222222222222222,0.8149127469020745,True
0.2222222222222222,0.9027251779484579,True
0.2222222222222222,1.0,True
0.2222222222222222,1.1077568505097097,True
0.2222222222222222,1.2271252398511903,True
0.2222222222222222,1.3593563908785256,True
0.2222222222222222,1.5058363542798414,True
0.2222222222222222,1.6681005372000592,True
0.2222222222222222,1.8478497974222907,True
0.2222222222222222,2.046968271807522,True
0.2222222222222222,2.267543125870802,True
0.2222222222222222,2.5118864315095797,True
0.2222222222222222,2.782559402207126,True
0.2222222222222222,3.0823992397451434,True
0.2222222222222222,3.414548873833601,True
0.2222222222222222,3.782489906389386,True
0.2222222222222222,4.190079105786669,True
0.2222222222222222,4.641588833612782,True
0.2222222222222222,5.141751827683928,True
0.2222222222222222,5.695810810737687,True
0.2222222222222222,6.309573444801936,True
0.2222222222222222,6.989473207273487,True
0.2222222222222222,7.742636826811269,True
0.2222222222222222,8.576958985908945,True
0.2222222222222222,9.50118507318144,True
0.2222222222222222,10.525002852777327,True
0.2222222222222222,11.659144011798324,True
0.2222222222222222,12.91549665014884,True
0.2222222222222222,14.307229891937586,True
0.2222222222222222,15.848931924611142,True
0.2222222222222222,17.556762912750013,True
0.2222222222222222,19.448624389373634,True
0.2222222222222222,21.544346900318846,True
0.2222222222222222,23.865897868585808,True
0.2222222222222222,26.437611857491014,True
0.2222222222222222,29.286445646252375,True
0.2222222222222222,32.4422607917163,True
0.2222222222222222,35.938136638046295,True
0.2222222222222222,39.810717055349734,True
0.2222222222222222,44.100594541767364,True
0.2222222222222222,48.852735715193916,True
0.2222222222222222,54.116952654646376,True
0.2222222222222222,59.948425031894146,True
0.2222222222222222,66.40827850634845,True
0.2222222222222222,73.56422544596414,True
0.2222222222222222,81.49127469020749,True
0.2222222222222222,90.27251779484578,True
0.2222222222222222,100.0,True
0.4444444444444444,0.01,True
0.4444444444444444,0.011077568505097092,True
0.4444444444444444,0.012271252398511897,True
0.4444444444444444,0.013593563908785255,True
0.4444444444444444,0.015058363542798407,True
0.4444444444444444,0.016681005372000592,True
0.4444444444444444,0.018478497974222907,True
0.4444444444444444,0.02046968271807521,True
0.4444444444444444,0.02267543125870802,True
0.4444444444444444,0.025118864315095794,True
0.4444444444444444,0.027825594022071243,True
0.4444444444444444,0.030823992397451434,True
0.4444444444444444,0.034145488738336005,True
0.4444444444444444,0.037824899063893865,True
0.4444444444444444,0.04190079105786669,True
0.4444444444444444,0.046415888336127795,True
0.4444444444444444,0.051417518276839276,True
0.4444444444444444,0.056958108107376865,True
0.4444444444444444,0.06309573444801933,True
0.4444444444444444,0.06989473207273486,True
0.4444444444444444,0.0774263682681127,True
0.4444444444444444,0.08576958985908942,True
0.4444444444444444,0.0950118507318144,True
0.4444444444444444,0.10525002852777332,True
0.4444444444444444,0.11659144011798317,True
0.4444444444444444,0.1291549665014884,True
0.4444444444444444,0.14307229891937578,True
0.4444444444444444,0.15848931924611134,True
0.4444444444444444,0.17556762912750015,True
0.4444444444444444,0.19448624389373625,True
0.4444444444444444,0.21544346900318845,True
0.4444444444444444,0.2386589786858581,True
0.4444444444444444,0.26437611857491,True
0.4444444444444444,0.29286445646252374,True
0.4444444444444444,0.324422607917163,True
0.4444444444444444,0.35938136638046275,True
